,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.549553,0:00:10.960811,0:00:00.016914,0:00:03.277462,0:00:03.127902,0:00:00.016748
KYRIALE-AE_f64v,1737682,0:00:25.612073,0:00:25.621734,0:00:00.005823,0:00:01.788305,0:00:01.710178,0:00:00.006057
mappa11,2655815,0:00:14.429223,0:00:13.851237,0:00:00.006850,0:00:01.638378,0:00:01.566294,0:00:00.006509
Putto_Area1_fiori,7027110,0:00:23.736440,0:00:22.704236,0:00:00.013602,0:00:01.942546,0:00:01.687759,0:00:00.014984
Map1_Crocifissione_Cristo,3952048,0:00:21.979189,0:00:21.098593,0:00:00.007734,0:00:01.730648,0:00:01.644246,0:00:00.008260
Putto_Area3_fondo_destra,7308877,0:00:26.423484,0:00:25.221452,0:00:00.012073,0:00:01.815773,0:00:01.678391,0:00:00.012054
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.892528,0:00:12.285421,0:00:00.023644,0:00:03.634428,0:00:03.355468,0:00:00.023394
AntR_f67,392288,0:00:07.430532,0:00:07.033115,0:00:00.003979,0:00:01.666113,0:00:01.580088,0:00:00.004465
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.423735,0:00:30.698479,0:00:00.014057,0:00:01.814495,0:00:02.627238,0:00:00.013581
