,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.578427,0:00:11.014565,0:00:00.016370,0:00:03.228605,0:00:04.594333,0:00:00.020714
KYRIALE-AE_f64v,1737682,0:00:26.072108,0:00:24.626132,0:00:00.006978,0:00:01.788369,0:00:01.716995,0:00:00.007675
mappa11,2655815,0:00:14.517418,0:00:13.789189,0:00:00.006937,0:00:01.612421,0:00:01.547069,0:00:00.008390
Putto_Area1_fiori,7027110,0:00:23.793764,0:00:22.517634,0:00:00.016661,0:00:01.961179,0:00:01.704002,0:00:00.018061
Map1_Crocifissione_Cristo,3952048,0:00:21.998181,0:00:21.174115,0:00:00.008610,0:00:01.757932,0:00:01.677967,0:00:00.010432
Putto_Area3_fondo_destra,7308877,0:00:26.287009,0:00:25.367803,0:00:00.012311,0:00:01.748834,0:00:01.662565,0:00:00.015602
Map3_Carbonara_fasciacentrale1,11232133,0:00:13.109811,0:00:12.205063,0:00:00.025215,0:00:03.688419,0:00:03.337315,0:00:00.025066
AntR_f67,392288,0:00:07.505058,0:00:07.084376,0:00:00.004164,0:00:01.653888,0:00:01.598431,0:00:00.003801
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.253148,0:00:30.772135,0:00:00.013533,0:00:01.778564,0:00:01.680687,0:00:00.014080
