,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.636743,0:00:10.900046,0:00:19.688548,0:00:04.939993,0:00:03.214095,0:00:02.832135
KYRIALE-AE_f64v,1737682,0:00:25.565464,0:00:24.234593,0:00:48.893490,0:00:01.797069,0:00:01.698663,0:00:00.681644
mappa11,2655815,0:00:14.557651,0:00:13.997660,0:00:27.304064,0:00:01.761941,0:00:01.516840,0:00:00.599972
Putto_Area1_fiori,7027110,0:00:23.515995,0:00:22.356520,0:00:45.789266,0:00:01.764760,0:00:01.787852,0:00:00.736246
Map1_Crocifissione_Cristo,3952048,0:00:21.901013,0:00:20.849176,0:00:42.477162,0:00:01.676401,0:00:01.935237,0:00:00.710781
Putto_Area3_fondo_destra,7308877,0:00:26.216656,0:00:25.108507,0:00:51.017014,0:00:01.931163,0:00:01.696373,0:00:00.866544
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.732026,0:00:12.230718,0:00:22.324795,0:00:03.620671,0:00:03.411832,0:00:04.430633
AntR_f67,392288,0:00:07.305702,0:00:07.325387,0:00:12.560629,0:00:01.663637,0:00:01.554995,0:00:00.608580
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.192319,0:00:30.657056,0:01:00.079739,0:00:01.990378,0:00:01.703544,0:00:00.925411
