,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:14.981660,0:00:13.664892,0:00:21.390026,0:00:05.476206,0:00:04.903128,0:00:00.016708
KYRIALE-AE_f64v,1737682,0:00:27.123310,0:00:32.393879,0:00:50.303674,0:00:01.962378,0:00:02.035060,0:00:00.007057
mappa11,2655815,0:00:14.744117,0:00:14.589483,0:00:27.337800,0:00:01.776890,0:00:04.858721,0:00:00.007001
Putto_Area1_fiori,7027110,0:00:23.970968,0:00:22.777622,0:00:45.679027,0:00:02.717560,0:00:01.830694,0:00:00.014065
Map1_Crocifissione_Cristo,3952048,0:00:22.181543,0:00:21.445268,0:00:42.307494,0:00:01.806950,0:00:01.758632,0:00:00.008470
Putto_Area3_fondo_destra,7308877,0:00:26.654755,0:00:25.424429,0:00:51.496064,0:00:01.888186,0:00:01.820883,0:00:00.012909
Map3_Carbonara_fasciacentrale1,11232133,0:00:13.394491,0:00:13.251753,0:00:05.475653,0:00:03.705146,0:00:03.462523,0:00:00.022483
AntR_f67,392288,0:00:07.424827,0:00:07.354066,0:00:00.023286,0:00:01.748709,0:00:01.648657,0:00:00.004691
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.215214,0:00:31.196626,0:00:00.038565,0:00:01.864237,0:00:01.758739,0:00:00.013938
