,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.137220,0:00:10.494892,0:00:19.258069,0:00:03.246294,0:00:02.997984,0:00:02.599870
KYRIALE-AE_f64v,1737682,0:00:24.418622,0:00:23.234902,0:00:47.508537,0:00:01.880524,0:00:01.615624,0:00:00.654330
mappa11,2655815,0:00:13.740307,0:00:13.059322,0:00:25.896470,0:00:01.568062,0:00:01.494416,0:00:00.562986
Putto_Area1_fiori,7027110,0:00:22.602051,0:00:21.488628,0:00:43.787326,0:00:01.695163,0:00:01.768734,0:00:00.652886
Map1_Crocifissione_Cristo,3952048,0:00:20.735228,0:00:19.831063,0:00:40.636223,0:00:01.778571,0:00:01.541353,0:00:00.604398
Putto_Area3_fondo_destra,7308877,0:00:25.959231,0:00:23.731284,0:00:49.111265,0:00:01.736778,0:00:01.603620,0:00:00.681486
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.556797,0:00:11.734790,0:00:21.969209,0:00:03.331889,0:00:03.207490,0:00:02.868643
AntR_f67,392288,0:00:07.162765,0:00:06.758841,0:00:12.332697,0:00:01.739862,0:00:01.706593,0:00:00.535133
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:30.620638,0:00:29.227222,0:01:00.075987,0:00:01.733310,0:00:01.642473,0:00:00.668952
