,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:13.578054,0:00:13.875783,0:00:21.132780,0:00:07.214281,0:00:06.889943,0:00:04.015234
KYRIALE-AE_f64v,1737682,0:00:26.736318,0:00:25.235154,0:00:50.957286,0:00:03.091429,0:00:01.917730,0:00:00.813717
mappa11,2655815,0:00:14.612477,0:00:16.340530,0:00:27.590962,0:00:01.754580,0:00:01.697973,0:00:00.681144
Putto_Area1_fiori,7027110,0:00:23.528709,0:00:22.713147,0:00:46.174165,0:00:01.924121,0:00:02.192999,0:00:01.004559
Map1_Crocifissione_Cristo,3952048,0:00:22.267984,0:00:21.076021,0:00:43.376175,0:00:02.018570,0:00:02.061466,0:00:01.104199
Putto_Area3_fondo_destra,7308877,0:00:26.408675,0:00:25.521868,0:00:51.312824,0:00:01.878138,0:00:02.334554,0:00:01.215918
Map3_Carbonara_fasciacentrale1,11232133,0:00:13.255570,0:00:13.444691,0:00:23.398520,0:00:04.146441,0:00:04.208937,0:00:05.015702
AntR_f67,392288,0:00:07.455566,0:00:07.222328,0:00:12.806864,0:00:01.843293,0:00:01.684895,0:00:00.911041
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.088284,0:00:30.976812,0:01:00.085323,0:00:01.835967,0:00:01.981025,0:00:00.747901
