,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.681471,0:00:10.991775,0:00:00.017281,0:00:03.292314,0:00:03.148477,0:00:00.015909
KYRIALE-AE_f64v,1737682,0:00:25.653437,0:00:24.686796,0:00:00.005959,0:00:01.797728,0:00:01.694620,0:00:00.006271
mappa11,2655815,0:00:14.424545,0:00:15.679545,0:00:00.006849,0:00:01.631929,0:00:01.550290,0:00:00.006438
Putto_Area1_fiori,7027110,0:00:23.858231,0:00:22.896702,0:00:00.013480,0:00:02.002380,0:00:01.678742,0:00:00.012975
Map1_Crocifissione_Cristo,3952048,0:00:22.106606,0:00:21.272367,0:00:00.007952,0:00:01.709208,0:00:01.640292,0:00:00.008631
Putto_Area3_fondo_destra,7308877,0:00:26.505082,0:00:25.282654,0:00:00.012084,0:00:01.783005,0:00:01.665544,0:00:00.012983
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.954594,0:00:12.456307,0:00:00.023266,0:00:03.637118,0:00:03.291236,0:00:00.022184
AntR_f67,392288,0:00:07.498099,0:00:07.254106,0:00:00.004473,0:00:01.701148,0:00:01.568059,0:00:00.003989
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.444265,0:00:31.141871,0:00:00.013646,0:00:01.828056,0:00:01.718653,0:00:00.014854
