,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.684101,0:00:10.939116,0:00:00.017243,0:00:03.260165,0:00:03.118145,0:00:00.016677
KYRIALE-AE_f64v,1737682,0:00:25.634082,0:00:24.523430,0:00:00.006479,0:00:01.759493,0:00:01.648959,0:00:00.006282
mappa11,2655815,0:00:14.554225,0:00:13.919064,0:00:00.007686,0:00:01.640095,0:00:01.549125,0:00:00.006475
Putto_Area1_fiori,7027110,0:00:23.840419,0:00:22.708663,0:00:00.013152,0:00:01.962138,0:00:01.662143,0:00:00.012895
Map1_Crocifissione_Cristo,3952048,0:00:21.998446,0:00:21.282559,0:00:00.008101,0:00:01.738464,0:00:01.584118,0:00:00.007577
Putto_Area3_fondo_destra,7308877,0:00:26.462970,0:00:25.280861,0:00:00.012388,0:00:01.756618,0:00:01.672608,0:00:00.011577
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.865126,0:00:12.195865,0:00:00.024385,0:00:03.644574,0:00:03.313542,0:00:00.022905
AntR_f67,392288,0:00:07.351868,0:00:07.072519,0:00:00.004992,0:00:01.715868,0:00:01.546613,0:00:00.003839
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.422600,0:00:31.142705,0:00:00.013559,0:00:01.825500,0:00:01.693119,0:00:00.013393
