,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.478993,0:00:12.189915,0:00:00.016581,0:00:03.257649,0:00:03.111751,0:00:00.016620
KYRIALE-AE_f64v,1737682,0:00:25.493510,0:00:24.723905,0:00:00.006190,0:00:01.948677,0:00:01.676622,0:00:00.006295
mappa11,2655815,0:00:14.685131,0:00:13.793087,0:00:00.006877,0:00:01.681042,0:00:01.556505,0:00:00.007097
Putto_Area1_fiori,7027110,0:00:23.707204,0:00:22.835380,0:00:00.013364,0:00:01.748233,0:00:01.675385,0:00:00.014019
Map1_Crocifissione_Cristo,3952048,0:00:22.024480,0:00:21.259146,0:00:00.008604,0:00:01.904948,0:00:01.598062,0:00:00.008576
Putto_Area3_fondo_destra,7308877,0:00:26.449867,0:00:25.202388,0:00:00.012231,0:00:01.813999,0:00:01.682640,0:00:00.012277
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.761015,0:00:12.297099,0:00:00.023187,0:00:03.440637,0:00:03.298245,0:00:00.021855
AntR_f67,392288,0:00:07.576000,0:00:07.105730,0:00:00.004630,0:00:01.679671,0:00:01.568917,0:00:00.004755
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.214008,0:00:30.853228,0:00:00.016873,0:00:02.030981,0:00:01.724277,0:00:00.014514
