,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.611186,0:00:11.057807,0:00:00.017471,0:00:03.339878,0:00:03.195024,0:00:00.017046
KYRIALE-AE_f64v,1737682,0:00:25.592198,0:00:24.760416,0:00:00.008499,0:00:01.781428,0:00:01.668917,0:00:00.006719
mappa11,2655815,0:00:14.417158,0:00:13.850210,0:00:00.006579,0:00:01.860486,0:00:01.520518,0:00:00.007001
Putto_Area1_fiori,7027110,0:00:23.659733,0:00:22.894533,0:00:00.013525,0:00:01.778618,0:00:01.679368,0:00:00.015720
Map1_Crocifissione_Cristo,3952048,0:00:22.066240,0:00:21.129653,0:00:00.008116,0:00:01.723217,0:00:01.612374,0:00:00.007995
Putto_Area3_fondo_destra,7308877,0:00:26.476312,0:00:25.246126,0:00:00.011911,0:00:02.002254,0:00:01.700379,0:00:00.011684
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.895097,0:00:12.275027,0:00:00.023042,0:00:03.436513,0:00:03.299990,0:00:00.022105
AntR_f67,392288,0:00:07.412624,0:00:07.165915,0:00:00.004832,0:00:01.652992,0:00:01.578069,0:00:00.003929
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.424028,0:00:30.983560,0:00:00.013557,0:00:01.933005,0:00:01.679394,0:00:00.014000
