,size,fastapi_1D,flask_1D,node_1D,fastapi_2D,flask_2D,node_2D
Map7_Carbonara_bassocentro,9700531,0:00:11.952490,0:00:11.331784,0:00:00.021177,0:00:03.321802,0:00:03.173823,0:00:00.016513
KYRIALE-AE_f64v,1737682,0:00:25.673928,0:00:24.579196,0:00:00.007137,0:00:01.830701,0:00:01.734572,0:00:00.007419
mappa11,2655815,0:00:14.731695,0:00:14.020320,0:00:00.006481,0:00:01.639439,0:00:01.547365,0:00:00.007054
Putto_Area1_fiori,7027110,0:00:23.800777,0:00:22.760711,0:00:00.013848,0:00:01.932564,0:00:01.675598,0:00:00.013554
Map1_Crocifissione_Cristo,3952048,0:00:21.996797,0:00:20.969473,0:00:00.007920,0:00:01.740800,0:00:01.616239,0:00:00.008149
Putto_Area3_fondo_destra,7308877,0:00:26.583336,0:00:26.119911,0:00:00.012409,0:00:01.807987,0:00:01.707496,0:00:00.011762
Map3_Carbonara_fasciacentrale1,11232133,0:00:12.840977,0:00:12.340754,0:00:00.027274,0:00:03.651402,0:00:03.350828,0:00:00.022597
AntR_f67,392288,0:00:07.434449,0:00:07.138244,0:00:00.005880,0:00:01.710431,0:00:01.583429,0:00:00.004212
Leoni_779_Card_DeMarquemont_map1,6529831,0:00:32.261129,0:00:31.034003,0:00:00.017785,0:00:01.824322,0:00:01.771804,0:00:00.013614
